At time 0 , shortest C job pid: 0 , with burst 100
At time 100 , shortest C job pid: 4 , with burst 3
At time 100 , shortest I job pid: 0 , with burst 2
At time 103 , shortest C job pid: 5 , with burst 5
At time 103 , shortest I job pid: 4 , with burst 2
At time 108 , shortest C job pid: 4 , with burst 3
At time 111 , shortest C job pid: 3 , with burst 10
At time 121 , shortest C job pid: 2 , with burst 70
At time 191 , shortest C job pid: 1 , with burst 80
At time 271 , shortest C job pid: 0 , with burst 90
At time 361 , shortest C job pid: 6 , with burst 200
At time 361 , shortest I job pid: 0 , with burst 2
At time 363 , shortest I job pid: 1 , with burst 2
At time 365 , shortest I job pid: 2 , with burst 2
At time 367 , shortest I job pid: 3 , with burst 2
At time 369 , shortest I job pid: 4 , with burst 2
At time 561 , shortest C job pid: 4 , with burst 3
At time 561 , shortest I job pid: 6 , with burst 2
At time 564 , shortest C job pid: 6 , with burst 3
At time 567 , shortest C job pid: 3 , with burst 60
At time 627 , shortest C job pid: 2 , with burst 70
At time 697 , shortest C job pid: 0 , with burst 80
At time 697 , shortest I job pid: 2 , with burst 2
At time 699 , shortest I job pid: 3 , with burst 2
At time 777 , shortest C job pid: 3 , with burst 30
At time 777 , shortest I job pid: 0 , with burst 3
At time 807 , shortest C job pid: 2 , with burst 40
At time 847 , shortest C job pid: 0 , with burst 70
At time 917 , shortest C job pid: 1 , with burst 80
At time 917 , shortest I job pid: 0 , with burst 2
At time 997 , shortest C job pid: 0 , with burst 60
No CPU processes waiting at time 1057 ...
